Title: Identification of Likely Methane Absorption Features in the Optical 
       Spectra of Titan
Authors: Sithajan S., Kaewbiang L., Jones H.R.A., Rittipruk P., Meethong S.
Table: Intrinsic Titan spectral data from UVES observations
================================================================================
Byte-by-byte Description of file: datafileA2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   10-10m   Wave   Wavelength in vacuum; Angstroms
  10- 14 F5.3   ---      Flux   Relative flux (1)
  16- 20 F5.3   ---    e_Flux   Uncertainty in Flux (2)
--------------------------------------------------------------------------------
Note (1): Normalized Titan spectrum with the best-fit background removed.
Note (2): Variation in the relative flux across the 15 individual spectra.
--------------------------------------------------------------------------------
5400.005 0.995 0.002 
5400.021 0.994 0.002 
5400.036 0.993 0.004 
5400.051 0.993 0.005 
5400.067 0.993 0.005 
5400.082 0.993 0.004 
5400.097 0.993 0.003 
5400.113 0.994 0.004 
5400.128 0.994 0.004 
5400.143 0.995 0.005 
5400.159 0.996 0.004 
5400.174 0.996 0.004 
5400.189 0.995 0.005 
5400.205 0.994 0.004 
5400.220 0.993 0.004 
5400.235 0.993 0.003 
5400.251 0.995 0.003 
5400.266 0.995 0.004 
5400.281 0.995 0.005 
5400.297 0.996 0.006 
5400.312 0.995 0.005 
5400.327 0.996 0.004 
5400.343 0.996 0.003 
5400.358 0.995 0.003 
5400.373 0.997 0.003 
5400.389 0.999 0.004 
5400.404 0.999 0.004 
5400.419 0.998 0.005 
5400.435 0.999 0.006 
5400.450 0.998 0.006 
5400.466 0.999 0.006 
5400.481 0.998 0.007 
5400.496 0.999 0.006 
5400.512 1.001 0.005 
5400.527 1.001 0.004 
5400.542 1.001 0.003 
5400.558 1.001 0.003 
5400.573 1.000 0.003 
5400.588 1.000 0.003 
5400.604 1.000 0.004 
5400.619 1.000 0.005 
5400.634 0.999 0.005 
5400.650 1.000 0.004 
5400.665 0.999 0.004 
5400.680 0.997 0.003 
5400.696 0.994 0.003 
5400.711 0.990 0.004 
5400.726 0.989 0.004 
5400.742 0.990 0.004 
5400.757 0.990 0.004 
5400.772 0.991 0.005 
5400.788 0.993 0.005 
5400.803 0.994 0.005 
5400.818 0.995 0.005 
5400.834 0.997 0.004 
5400.849 0.997 0.003 
5400.864 0.996 0.002 
5400.880 0.996 0.003 
5400.895 0.994 0.004 
5400.910 0.993 0.004 
5400.926 0.995 0.005 
5400.941 0.995 0.005 
5400.956 0.997 0.005 
5400.972 1.002 0.004 
5400.987 1.006 0.004 
5401.002 1.010 0.005 
5401.018 1.010 0.007 
5401.033 1.010 0.008 
5401.048 1.010 0.008 
5401.064 1.008 0.008 
5401.079 1.003 0.007 
5401.094 0.999 0.008 
5401.110 0.996 0.007 
5401.125 0.996 0.005 
5401.141 0.996 0.004 
5401.156 0.995 0.003 
5401.171 0.996 0.003 
5401.187 0.997 0.003 
5401.202 0.997 0.001 
5401.217 0.997 0.002 
5401.233 0.997 0.002 
5401.248 0.996 0.001 
5401.263 0.995 0.002 
5401.279 0.997 0.002 
5401.294 0.996 0.001 
5401.309 0.994 0.003 
5401.325 0.993 0.005 
5401.340 0.995 0.005 
5401.355 0.995 0.003 
5401.371 0.994 0.003 
5401.386 0.994 0.003 
5401.401 0.993 0.002 
5401.417 0.991 0.002 
5401.432 0.992 0.003 
5401.447 0.994 0.002 
5401.463 0.994 0.002 
5401.478 0.996 0.002 
5401.493 0.995 0.001 
5401.509 0.995 0.003 
5401.524 0.996 0.004 
5401.539 0.995 0.002 
5401.555 0.994 0.002 
5401.570 0.994 0.002 
5401.585 0.995 0.003 
5401.601 0.995 0.005 
5401.616 0.994 0.004 
5401.631 0.994 0.003 
5401.647 0.995 0.003 
5401.662 0.992 0.003 
5401.677 0.992 0.003 
5401.693 0.992 0.004 
5401.708 0.995 0.004 
5401.723 0.996 0.004 
5401.739 0.998 0.004 
5401.754 1.000 0.003 
5401.769 1.000 0.003 
5401.785 0.997 0.004 
5401.800 0.992 0.003 
5401.815 0.991 0.002 
5401.831 0.991 0.002 
5401.846 0.991 0.003 
5401.862 0.991 0.003 
5401.877 0.990 0.004 
5401.892 0.990 0.003 
5401.908 0.991 0.002 
5401.923 0.990 0.005 
5401.938 0.991 0.013 
5401.954 0.993 0.026 
5401.969 0.994 0.032 
5401.984 0.998 0.034 
5402.000 1.005 0.031 
5402.015 1.021 0.030 
5402.030 1.025 0.031 
5402.046 1.039 0.028 
5402.061 1.042 0.027 
5402.076 1.053 0.031 
5402.092 1.033 0.030 
5402.107 1.008 0.027 
5402.122 0.994 0.017 
5402.138 0.989 0.008 
5402.153 0.989 0.004 
5402.168 0.989 0.003 
5402.184 0.991 0.005 
5402.199 0.989 0.006 
5402.214 0.988 0.006 
5402.230 0.991 0.006 
5402.245 0.990 0.005 
5402.260 0.991 0.003 
5402.276 0.993 0.003 
5402.291 0.994 0.002 
5402.306 0.995 0.002 
5402.322 0.997 0.002 
5402.337 0.997 0.002 
5402.352 0.997 0.001 
5402.368 0.997 0.001 
5402.383 0.999 0.001 
5402.398 0.999 0.002 
5402.414 0.998 0.001 
5402.429 0.997 0.002 
5402.444 0.998 0.001 
5402.460 0.998 0.002 
5402.475 0.998 0.002 
5402.490 0.998 0.002 
5402.506 0.998 0.002 
5402.521 0.997 0.003 
5402.536 0.997 0.003 
5402.552 0.999 0.001 
5402.567 1.001 0.002 
5402.583 1.001 0.002 
5402.598 1.002 0.001 
5402.613 1.002 0.001 
5402.629 1.002 0.003 
5402.644 1.002 0.001 
5402.659 1.001 0.002 
5402.675 1.000 0.003 
5402.690 0.999 0.002 
5402.705 0.996 0.005 
5402.721 0.996 0.008 
5402.736 0.995 0.008 
5402.751 0.995 0.008 
5402.767 0.995 0.007 
5402.782 0.995 0.005 
5402.797 0.998 0.007 
5402.813 0.997 0.009 
5402.828 0.998 0.010 
5402.843 0.994 0.008 
5402.859 0.990 0.007 
5402.874 0.987 0.006 
5402.889 0.986 0.005 
5402.905 0.987 0.004 
5402.920 0.987 0.003 
5402.935 0.989 0.004 
5402.951 0.990 0.003 
5402.966 0.990 0.002 
5402.981 0.990 0.002 
5402.997 0.992 0.001 
5403.012 0.992 0.001 
5403.027 0.991 0.001 
5403.043 0.992 0.001 
5403.058 0.994 0.001 
5403.073 0.995 0.001 
5403.089 0.994 0.001 
5403.104 0.994 0.002 
5403.119 0.994 0.002 
5403.135 0.994 0.001 
5403.150 0.996 0.002 
5403.165 0.997 0.002 
5403.181 0.999 0.002 
5403.196 0.998 0.002 
5403.211 0.998 0.002 
5403.227 0.999 0.001 
5403.242 1.000 0.001 
5403.258 1.000 0.001 
5403.273 1.000 0.001 
5403.288 1.000 0.002 
5403.304 1.000 0.003 
5403.319 1.001 0.002 
5403.334 1.000 0.002 
5403.350 0.999 0.001 
5403.365 0.998 0.001 
5403.380 0.998 0.002 
5403.396 0.997 0.002 
5403.411 0.997 0.002 
5403.426 0.997 0.003 
5403.442 0.997 0.001 
5403.457 0.999 0.003 
5403.472 0.999 0.002 
5403.488 1.001 0.001 
5403.503 0.999 0.002 
5403.518 1.000 0.003 
5403.534 1.002 0.002 
5403.549 1.003 0.004 
5403.564 1.002 0.003 
5403.580 1.002 0.002 
5403.595 1.003 0.003 
5403.610 1.004 0.004 
5403.626 1.004 0.003 
5403.641 1.003 0.004 
5403.656 1.000 0.003 
5403.672 0.997 0.003 
5403.687 0.995 0.002 
5403.702 0.995 0.002 
5403.718 0.996 0.003 
5403.733 0.995 0.003 
5403.748 0.996 0.002 
5403.764 0.998 0.001 
5403.779 1.000 0.002 
5403.794 1.000 0.002 
5403.810 0.997 0.001 
5403.825 0.996 0.002 
5403.840 0.998 0.001 
5403.856 0.999 0.001 
5403.871 0.999 0.001 
5403.886 1.000 0.002 
5403.902 0.999 0.003 
5403.917 0.998 0.003 
5403.932 0.997 0.003 
5403.948 0.996 0.003 
5403.963 0.996 0.002 
5403.979 0.997 0.002 
5403.994 0.998 0.001 
5404.009 0.998 0.002 
5404.025 0.997 0.004 
5404.040 0.996 0.002 
5404.055 0.997 0.001 
5404.071 0.999 0.002 
5404.086 0.999 0.002 
5404.101 1.000 0.001 
5404.117 0.999 0.002 
5404.132 1.000 0.003 
5404.147 1.000 0.002 
5404.163 0.998 0.001 
5404.178 0.998 0.002 
5404.193 0.995 0.002 
5404.209 0.997 0.003 
5404.224 0.997 0.005 
5404.239 0.998 0.004 
5404.255 0.998 0.003 
5404.270 0.997 0.004 
5404.285 0.998 0.004 
5404.301 0.998 0.002 
5404.316 0.999 0.002 
5404.331 0.999 0.003 
5404.347 0.999 0.005 
5404.362 0.996 0.005 
5404.377 0.994 0.005 
5404.393 0.992 0.005 
5404.408 0.991 0.003 
5404.423 0.990 0.002 
5404.439 0.992 0.001 
5404.454 0.993 0.002 
5404.469 0.996 0.002 
5404.485 0.998 0.002 
5404.500 0.999 0.002 
5404.515 0.998 0.003 
5404.531 1.000 0.002 
5404.546 1.001 0.002 
5404.561 1.003 0.002 
5404.577 1.002 0.003 
5404.592 1.002 0.004 
5404.607 1.001 0.003 
5404.623 1.002 0.003 
5404.638 1.001 0.002 
5404.654 0.998 0.002 
5404.669 0.998 0.003 
5404.684 0.998 0.002 
5404.700 0.998 0.003 
5404.715 0.995 0.004 
5404.730 0.995 0.003 
5404.746 0.995 0.003 
5404.761 0.994 0.003 
5404.776 0.992 0.002 
5404.792 0.993 0.002 
5404.807 0.993 0.003 
5404.822 0.995 0.002 
5404.838 0.997 0.002 
5404.853 0.997 0.002 
5404.868 0.997 0.003 
5404.884 0.996 0.003 
5404.899 0.995 0.004 
5404.914 0.997 0.004 
5404.930 0.998 0.004 
5404.945 0.996 0.004 
5404.960 0.995 0.003 
5404.976 0.994 0.002 
5404.991 0.993 0.002 
5405.006 0.993 0.001 
5405.022 0.992 0.003 
5405.037 0.993 0.003 
5405.052 0.996 0.003 
